title,author_name,author_gender,pub_year,min_age,target_audience,character_gender,genre,character_type,source
A Little Piece of Ground,Elizabeth Laird,female,2003,9,middle elementary,male,fiction,human,CBSD
A Long Pitch Home,Natalie Dias Lorenzi,female,2016,9,middle elementary,male,fiction,human,Charlesbridge
A Map into the World,Kao Kalia Yang,female,2019,5,preschool,female,fiction,human,ALSC
A Monster Calls,Patrick Ness,male,2011,12,late elementary,male,fiction,human,ALSC
A Mother's Journey,Sandra Markle,female,2005,4,preschool,female,non-fiction,non-human,Charlesbridge
A Mountain of Mittens,Lynn Plourde,female,2007,4,preschool,female,fiction,human,Charlesbridge
A New Year's Reunion,Yu Li-Qiong,female,2011,3,preschool,female,fiction,human,ALSC
A Passion for Elephants: The Real Life Adventure of Field Scientist Cynthia Moss,Toni Buzzeo,female,2015,5,preschool,female,non-fiction,human,Geek Wrapped
A Path of Stars,Anne Sibley O'Brien,female,2012,5,preschool,female,fiction,human,Charlesbridge
A Picture Book of Benjamin Franklin,David A. Adler,male,1990,4,preschool,male,non-fiction,human,Barnes & Noble
A Picture Book of Thomas Alva Edison,David A. Adler,male,1996,4,preschool,male,non-fiction,human,Goodreads
A Piece of Home,Jeri Watts,female,2016,5,preschool,male,fiction,human,ALSC
A Piglet Named Mercy,Kate DiCamillo,female,2019,3,preschool,female,fiction,non-human,Brightly
A Pirate's Night Before Christmas,Philip Yates,male,2008,3,preschool,male,fiction,human,Sterling Publishing
A Pirate's Twelve Days of Christmas,Philip Yates,male,2012,3,preschool,male,fiction,human,Sterling Publishing
A�Place for Zero,Angeline Sparagna LoPresti,female,1995,6,early elementary,male,fiction,non-human,Geek Wrapped
A Place to Belong,Cynthia Kadohata,female,2019,10,middle elementary,female,fiction,human,ALSC
A Place to Call Home,Jackie Koller,female,1995,12,late elementary,female,fiction,human,ALSC
A Place to Land: Martin Luther King Jr. and the Speech that Inspired a Nation,Barry Wittenstein,male,2019,7,early elementary,male,non-fiction,human,ALSC
"A Platypus, Probably",Sneed Collard III,male,2005,5,preschool,female,fiction,non-human,Charlesbridge
A Pocket for Corduroy,Don Freeman,male,1978,1,infant/toddler,male,fiction,non-human,Parents
A Poem for Peter: The Story of Ezra Jack Keats and the Creation of the Snowy Day,Andrea Davis Pinkney,female,2016,7,early elementary,male,non-fiction,human,ALSC
A River of Words: The Story of Wlliam Carlos Williams,Jen Bryant,female,2008,7,early elementary,male,non-fiction,human,ALSC
A School for Pompey Walker,Michael Rosen,male,1995,7,early elementary,male,non-fiction,human,ALSC
A Sick Day for Amos McGee,Philip Stead,male,2010,2,infant/toddler,male,fiction,human,TIME
A Single Shard,Linda Sue Park,female,2001,8,early elementary,male,fiction,human,ALSC
A Snicker of Magic,Natalie Lloyd,female,2014,8,early elementary,female,fiction,human,ALSC
A Song for Gwendolyn Brooks,Alice Faye Duncan,female,2019,5,preschool,female,non-fiction,human,Sterling Publishing
A Splash of Red: The Life and Art of Horace Pippin,Jen Bryant,female,2013,5,preschool,male,non-fiction,human,ALSC
A Step from Heaven,An Na,female,2001,12,late elementary,female,fiction,human,ALSC
A Story about Cancer (with a Happy Ending),India Desjardins,female,2017,10,middle elementary,female,non-fiction,human,ALSC
A Surprise for Little Mole,Orianne Lallemand,female,2015,4,preschool,female,fiction,non-human,CBSD
A Symphony of�Whales,Steve Schuch,male,2002,4,preschool,female,non-fiction,human,A Mighty Girl
A Tale of Two Cities ,Jacqueline Morley,female,2008,9,middle elementary,male,fiction,human,Sterling Publishing
A Time of Miracles,Anne-Laure Bondoux,female,2009,12,late elementary,male,fiction,human,ALSC
A Time to Dance,Padma Venkatraman,female,2014,12,late elementary,female,fiction,human,ALSC
A Toothbrush for Rex,Marisa Vestita,female,2018,4,preschool,male,fiction,non-human,Sterling Publishing
A Trapezoid is Not a Dinosaur!,Suzanne Morris,female,2019,5,preschool,male,fiction,non-human,Charlesbridge
A Treasury of Curious George,H.A. Rey ,male,2004,4,preschool,male,fiction,non-human,Best Choice Reviews
A Very Improbable Story,Edward Einhorn,male,2008,7,early elementary,male,fiction,human,Charlesbridge
A Visit to Grandad: An African ABC,Sade Fadipe,female,2019,3,preschool,female,fiction,human,CBSD
A Visitor for Bear,Bonny Becker,female,2008,2,infant/toddler,male,fiction,non-human,ALSC
A Weed is a Flower: The Life of George Washington Carver,Aliki,female,1965,4,preschool,male,non-fiction,human,Barnes & Noble
"A Whale of a Tale!: All About Porpoises, Dolphins, and Whales",Bonnie Worth,female,2006,5,preschool,male,fiction,non-human,Barnes & Noble
A Whole Nother Story,Dr. Cuthbert Soup,male,2010,8,early elementary,male,fiction,human,Wired
A Wizard of Earthsea,Ursula Le Guin,female,1968,12,late elementary,male,fiction,human,BBC
A Wreath for Emmett Till,Marilyn Nelson,female,2005,12,late elementary,male,non-fiction,human,ALSC
A Wrinkle in Time,Madeleine L�Engle ,female,1962,10,middle elementary,female,fiction,human,NYPL
A Year Down Yonder,Richard Peck,male,2000,8,early elementary,female,fiction,human,ALSC
Aaaarrgghh Spider!,Lydia Monks,female,2004,4,preschool,female,fiction,non-human,Childhood101
"Abe Lincoln Crosses a Creek: A Tall, Thin Tale",Deborah Hopkinson,female,2008,4,preschool,male,non-fiction,human,ALSC
Abiyoyo,Pete Seeger,male,1994,4,preschool,male,fiction,human,Childhood101
Absolutely Almost,Lisa Graff,female,2014,8,early elementary,male,fiction,human,ALSC
"Ace Lacewing, Bug Detective",David Biedrzycki,male,2005,5,preschool,male,fiction,non-human,Charlesbridge
"Ace Lacewing, Bug Detective: Bad Bugs Are My Business",David Biedrzycki,male,2009,5,preschool,male,fiction,non-human,ALSC
"Ace Lacewing, Bug Detective: The Big Swat",David Biedrzycki,male,2012,5,preschool,male,fiction,non-human,Charlesbridge
Across the Bay,Carlos Aponte,male,2019,3,preschool,male,fiction,human,ALSC
Action Jackson,Jan Greenberg,female,2002,6,early elementary,male,non-fiction,human,Childhood101
Action Stan,Elaine Wickson,female,2019,9,middle elementary,male,fiction,human,Oxford
Ada Byton Lovelace and the Thinking Machine,Laurie Wallmark,female,2015,5,preschool,female,non-fiction,human,Barnes & Noble
"Ada Lace, On the Case",Emily Calandrelli,female,2017,6,early elementary,female,fiction,human,A Mighty Girl
Ada Lovelace,Maria Isabel Sanchez Vegara,female,2018,5,preschool,female,non-fiction,human,Barnes & Noble
"Ada Lovelace, Poet of Science: The First Computer Programmer",Diane Stanley,female,2016,4,preschool,female,non-fiction,human,Barnes & Noble
"Ada Twist, Scientist",Andrea Beaty,female,2016,5,preschool,female,fiction,human,ALSC
Ada's Ideas: The Story of the World's First Computer Programmer,Fiona Robinson,female,2016,6,early elementary,female,non-fiction,human,My Little Poppies
Adam and Eve and Pinch-Me,Julie Johnston,female,1994,10,middle elementary,female,fiction,human,ALSC
Adopting a Dinosaur,Jos� Carlos Andr�s,male,2019,4,preschool,female,fiction,human,CBSD
Adventure Beneath the Sea: Living in an Underwater Science Station,Kenneth Mallory,male,2010,9,middle elementary,male,non-fiction,human,Smithsonian
Adventures in Cartooning: How to Turn Your Doodles into Comics,"James Sturm, Andrew Arnold, and Alexis Frederick-Frost",male,2009,6,early elementary,female,fiction,human,ALSC
After Gandhi One Hundred Years of Nonviolent Resistance,Anne Sibley O'Brien,female,2009,10,middle elementary,male,non-fiction,human,Charlesbridge
After the Kill,Darrin Lunde,male,2011,6,early elementary,female,fiction,non-human,Charlesbridge
After Tupac & D Foster,Jacqueline Woodson,female,2008,10,middle elementary,female,fiction,human,Slate
Agatha,Anna Pignataro,female,2015,4,preschool,female,fiction,non-human,Childhood101
Ain't Nothing But a Man: My Quest to Find the Real John Henry,Scott Reynolds Nelson,male,2007,10,middle elementary,male,non-fiction,human,ALSC
Airborn,Kenneth Oppel,male,2004,13,teen,male,fiction,human,ALSC
Al Capone Does My Shirts,Gennifer Choldenko,female,2004,10,middle elementary,male,fiction,human,ALSC
Albert Einstein,Jane Kent,female,2018,6,early elementary,male,non-fiction,human,Sterling Publishing
Albert's Impossible Toothache,Barbara Williams,female,1974,4,preschool,male,fiction,non-human,Thrive Global
Albie Newton,Josh Funk,male,2018,5,preschool,male,fiction,human,Sterling Publishing
Albie's First Word: A Tale Inspired by Albert Einstein's Childhood,Jacqueline Tourville,female,2014,4,preschool,male,fiction,human,Goodreads
Alcatraz Versus the Evil Librarians,Brandon Sanderson,male,2007,8,early elementary,male,fiction,human,It's Always Autumn
"Alexander and the Terrible, Horrible, No Good Very Bad Day",Judith Viorst,female,1972,6,early elementary,male,fiction,human,Thrive Global
Alexander and the Wind-Up Mouse,Leo Lionni,male,1969,4,preschool,male,fiction,non-human,Best Products
Alexander Graham Bell Answers the Call,Mary Ann Fraser,male,2017,6,early elementary,male,non-fiction,human,Charlesbridge
Alexander Graham Bell for Kids: His Life & Inventions with 21 Activities,Marc S. Lavine,male,2018,9,middle elementary,male,non-fiction,human,Science 
Alexander Hamilton,Susan Blackaby,female,2018,10,middle elementary,male,non-fiction,human,Childhood101
"Alexander, Who Used to Be Rich Last Sunday",Judith Viorst,female,1978,5,preschool,male,fiction,human,Paperback Swap
Alfie: The Turtle That Disappeared,Thyra Heder,female,2017,3,preschool,male,fiction,non-human,ALSC
Alfred Nobel: The Man Behind the Peace Prize,Kathy-jo Wargin,female,2009,7,early elementary,male,non-fiction,human,Goodreads
Alfred's Book of Monsters,Sam Streed,male,2019,3,preschool,male,fiction,human,Charlesbridge
Alice in Pastaland,Alexandra Wright,female,1997,4,preschool,female,fiction,human,Charlesbridge
Alice in Wonderland,Manuela Adreani,female,2018,8,early elementary,female,fiction,human,Sterling Publishing
Alice in Wonderland: Down the Rabbit Hole,Joe Ratigan and Charles Nurnberg,male,2015,5,preschool,female,fiction,human,Childhood101
Alice's Mazes: A Counting Adventure in Wonderland,Agnese Baruzzi,female,2019,6,early elementary,female,fiction,human,Sterling Publishing
All About Steven Hawking,Chris Edwards,male,2017,9,middle elementary,male,non-fiction,human,Barnes & Noble
All About Trash: The Story of the 1987 Garbage Barge and Our Problem with Stuff,Meghan McCarthy,female,2018,8,early elementary,male,non-fiction,human,Bookvine
All Alone in the Universe,Lynne Rae Perkins,female,1999,8,early elementary,female,fiction,human,ALSC
All in a Drop: How Antony van Leeuwenhoek Discovered an Invisible World,Lori Alexander,female,2019,7,early elementary,male,non-fiction,human,ALSC
All in Just One Cookie,Susan Goodman,female,2006,4,preschool,female,fiction,human,ALSC
All the Greys on Greene Street,Laura Tucker,female,2019,8,early elementary,female,fiction,human,ALSC
All the Way to Havana,Margarita Engle,female,2017,3,preschool,male,fiction,human,ALSC
All-Action Classics: Dracula,Ben Caldwell and Michael Mucci,male,2008,10,middle elementary,male,fiction,human,Sterling Publishing
All-Action Classics: The Wizard of Oz,Ben Caldwell,male,2019,10,middle elementary,female,fiction,human,Sterling Publishing
All's Faire in Middle School,Victoria Jamieson,female,2017,8,early elementary,female,fiction,human,ALSC
Allah Made Everything: The Song Book,Zain Bhika,male,2019,2,infant/toddler,male,fiction,human,CBSD
Allie All Along,Sarah Lynne Reul,female,2018,4,preschool,female,fiction,human,CBSD
Ally-saurus & the Very Bossy Monster,Richard Torrey,male,2017,3,preschool,female,fiction,human,Sterling Publishing
Alma and How She Got Her Name,Juana Martinez-Neal,female,2018,3,preschool,female,fiction,human,ALSC
Alphabet Under Construction,Denise Fleming,female,2002,2,infant/toddler,male,fiction,non-human,ALSC
Always Blue for Chicu,Karen Dugan,female,2010,5,preschool,male,fiction,non-human,CBSD
Always Remember Me: How One Family Survived World War II,Marisabina Russo,female,2005,6,early elementary,female,fiction,human,ALSC
Amal Unbound,Aisha Saeed,female,2018,11,late elementary,female,fiction,human,ALSC
Amanda Pig and the Really Hot Day,Jean Van Leeuwen,female,2005,6,early elementary,female,fiction,non-human,ALSC
Amazing Grace,Mary Hoffman,female,1991,4,preschool,female,fiction,human,ALSC
Amelia Bedelia,Peggy Parish,female,1963,6,early elementary,female,fiction,human,TIME
Amelia Lost: The Life and Disappearance of Amelia Earhart,Candace Fleming,female,2011,8,early elementary,female,non-fiction,human,ALSC
America's Champion Swimmer: Gertrude Ederle,David Adler,male,2000,4,preschool,female,non-fiction,human,ALSC
American Born Chinese,Gene Luen Yang,male,2006,12,late elementary,male,fiction,human,Best Products
American Maverick,John Perritano,male,2018,8,early elementary,male,non-fiction,human,Sterling Publishing
American Moonshot Young Readers� Edition: John F. Kennedy and the Great Space Race,Douglas Brinkley,male,2019,8,early elementary,male,non-fiction,human,Barnes & Noble
Amina's Voice,Hena Khan,female,2017,11,late elementary,female,fiction,human,ALSC
"Amma, Tell Me About Holi!",Bhakti Mathur,female,2011,4,preschool,male,fiction,human,Childhood101
Among the Hidden,Margaret Peterson Haddix,female,1998,10,middle elementary,male,fiction,human,It's Always Autumn
Amy�s Light,Robert Nutt,male,2010,2,infant/toddler,female,fiction,human,Smithsonian
An Extraordinary Life: The Story of a Monarch Butterfly,Laurence Pringle,male,1997,8,early elementary,female,fiction,non-human,ALSC
An Eye for Color: The Story of Josef Albers,Natasha Wing,female,2009,6,early elementary,male,non-fiction,human,ALSC
An Innocent Soldier,Josef Holub,male,2002,12,late elementary,male,non-fiction,human,ALSC
Ana Maria Reyes Does NOT Live in a Castle,Hilda Eunice Burgos,female,2018,8,early elementary,female,fiction,human,ALSC
Anastasia's Album,Hugh Brewster,male,1996,9,middle elementary,female,non-fiction,human,ALSC
And Then It's Spring,Julie Fogliano,female,2012,4,preschool,male,fiction,human,ALSC
Andy Warhol: Pop Art Painter,Susan Goldman Rubin  ,female,2006,8,early elementary,male,non-fiction,human,ALSC
Angelica Ice Skates,Katharine Holabird,female,1993,3,preschool,female,fiction,human,WCBC
Anna Hibiscus,Atinuke,female,2007,6,early elementary,female,fiction,human,Time Out
Anne Frank: Her Life in Words and Pictures from the Archives of The Anne Frank House,Ruud van der Rol and Menno Metselaar,male,2009,9,middle elementary,female,non-fiction,human,ALSC
Anno's Journey,Mitsimasa Anno,male,1978,4,preschool,male,fiction,human,TIME
Anno�s USA,Mitsumasa Anno,male,1983,4,preschool,male,fiction,human,Childhood101
Another Whole Nother Story,Dr. Cuthbert Soup,male,2010,8,early elementary,male,fiction,human,Wired
Anya's Ghost,Vera Brosgol,female,2011,12,late elementary,female,fiction,human,ALSC
Anya's Secret Society,Yevgenia Nayberg,female,2019,4,preschool,female,fiction,human,Charlesbridge
Anything But Typical,Nora Raleigh Baskin,female,2009,10,middle elementary,male,fiction,human,ALSC
"Apples to Oregon: Being the (Slightly) True Narrative of How a Brave Pioneer Father Brought Apples, Peaches, Pears, Plums, Grapes, and Cherries (and Children) Across the Plains",Deborah Hopkinson,female,2004,5,preschool,male,fiction,human,ALSC
Arabel�s Raven,Joan Aiken,female,1972,7,early elementary,female,fiction,human,Wired
Arcady's Goal,Eugene Yelchin,male,2014,9,middle elementary,male,fiction,human,ALSC
Are We There Yet?,Alison Lester,female,2004,5,preschool,female,fiction,human,Childhood101
Are You an Echo?: The Lost Poetry of Misuzu Kaneko,Misuzu Kaneko,female,2016,7,early elementary,female,non-fiction,human,CBSD
Are You My Mommy?,Mary Murphy,female,2008,1,infant/toddler,male,fiction,non-human,ALSC
Are You My Mother?,PD Eastman,male,1960,3,preschool,male,fiction,non-human,Thrive Global
"Are You There God? It's Me, Margaret",Judy Blume,female,1970,8,early elementary,female,fiction,human,CLC Awards
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire S�enz,male,2012,12,late elementary,male,fiction,human,ALSC
Arnie the Doughnut,Laurie Keller,female,2003,4,preschool,male,fiction,non-human,WCBC
Around Harvard Square,C.J. Farley,male,2019,14,teen,male,fiction,human,CBSD
Arthur Writes A Story,Marc Brown,male,1996,4,preschool,male,fiction,non-human,WCBC
Arthur's Nose,Marc Brown,male,1976,5,preschool,male,fiction,non-human,TIME
Arty!: The Greatest Artist in the World,William Bee,male,2018,3,preschool,male,fiction,non-human,Sterling Publishing
Aru Shah and the End of Time,Roshani Chokshi,female,2018,8,early elementary,female,fiction,human,ALSC
As Brave As You,Jason Reynolds,male,2016,10,middle elementary,male,fiction,human,ALSC
Ashes to Asheville,Sarah Dooley,female,2017,11,late elementary,female,fiction,human,ALSC
Ashley Bryan: Words to My Life's Song,Ashley Bryan,female,2009,4,preschool,male,non-fiction,human,ALSC
Ask Me No Questions,Marina Budhos,female,2006,12,late elementary,female,fiction,human,ALSC
"Astronomy for Kids: How to Explore Outer Space with Binoculars, a Telescope, or Just Your Eyes!",Dr. Bruce Betts,male,2018,7,early elementary,male,non-fiction,human,Childhood101
At Gleason's Gym,Ted Lewin,male,2007,5,preschool,male,non-fiction,human,ALSC
Attucks! Oscar Robertson and the Basketball Team that Awakened a City,Phillip Hoose,male,2018,11,late elementary,male,non-fiction,human,ALSC
Audrey the Amazing Inventor,Rachel Valentine,female,2018,3,preschool,female,fiction,human,The Book People
Auggie & Me: Three Wonder Stories,R.J. Palacio,female,2014,8,early elementary,male,fiction,human,Reading Rewards
B Is for Baby,Atinuke,female,2019,3,preschool,male,fiction,human,ALSC
Baba Yaga's Assistant,Marika McCoola,female,2015,10,middle elementary,female,fiction,human,ALSC
Babe Didrikson Zaharias: The Making of a Champion,Russell Freedman,male,1993,10,middle elementary,female,non-fiction,human,ALSC
Baby Astronaut,Dr. Laura Gehl,female,2019,0,infant/toddler,female,fiction,human,Barnes & Noble
Baby Danced the Polka,Karen Beaumont,female,2004,2,infant/toddler,male,fiction,human,ALSC
Baby Goes to Market,Atinuke,female,2017,3,preschool,male,fiction,human,ALSC
Baby Loves Aerospace Engineering!,Ruth Spiro,female,2016,0,infant/toddler,female,fiction,human,A Mighty Girl
Baby Loves Coding!,Ruth Spiro,female,2018,0,infant/toddler,female,fiction,human,Charlesbridge
"Baby Monkey, Private Eye",Brian Selznick,male,2018,3,preschool,male,fiction,non-human,ALSC
Baby Panda Chews Bamboo,Ben Richmond,male,2018,3,preschool,male,non-fiction,non-human,Sterling Publishing
Baby Penguin's First Waddles,Ben Richmond,male,2018,3,preschool,female,non-fiction,non-human,Bookvine
Baby Pig Pig Talks,David McPhail,male,2014,0,infant/toddler,male,fiction,non-human,Charlesbridge
Baby Pig Pig Walks,David McPhail,male,2014,0,infant/toddler,male,fiction,non-human,Charlesbridge
Bach's Goldberg Variations,Anna Harwell Celenza,female,2005,6,early elementary,male,non-fiction,human,Charlesbridge
Back of the Bus,Aaron Reynolds,male,2010,6,early elementary,male,fiction,human,ALSC
Bad Day at Riverbend,Chris Van Allsburg,male,1995,4,preschool,male,fiction,human,ALSC
"Bad News for Outlaws: The Remarkable Life of Bass Reeves, Deputy U.S. Marshal",Vaunda Micheaux Nelson,female,2009,9,middle elementary,male,non-fiction,human,ALSC
Bad Order,Barb Bentler Ullman,female,2019,8,early elementary,female,fiction,human,Sterling Publishing
Badjelly the Witch: A Faury Story,Spike Milligan,male,1973,7,early elementary,female,fiction,human,Childhood101
Bagel In Love,Natasha Wing,female,2018,4,preschool,male,fiction,non-human,Sterling Publishing
Bake Like Mommy,Lisa Stickley,female,2018,2,infant/toddler,female,fiction,human,Sterling Publishing
Ball,Mary Sullivan,female,2013,4,preschool,male,fiction,non-human,ALSC
Ballet Bunnies,Lucy Freegard,female,2018,3,preschool,female,fiction,non-human,Sterling Publishing
Ballet for Martha: Making Appalachian Spring,Jan Greenberg and Sandra Jordan,female,2010,6,early elementary,female,non-fiction,human,ALSC
Ballet Kitty: Christmas Recital,Bernette Ford,female,2007,3,preschool,female,fiction,non-human,Sterling Publishing
Balloons Over Broadway: The True Story of the Puppeteer of Macy's Parade,Melissa Sweet,female,2011,4,preschool,male,non-fiction,human,ALSC
Bambino and Mr. Twain,P.I. Maltbie,female,2012,5,preschool,male,non-fiction,human,Charlesbridge
Bamboo People,Mitali Perkins,female,2010,12,late elementary,male,fiction,human,Charlesbridge
Band of Angels,Deborah Hopkinson,female,1998,5,preschool,female,non-fiction,human,ALSC
Bandit's Moon,Sid Fleischman,male,1998,8,early elementary,female,fiction,human,ALSC
Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,Marissa Moss,female,2013,6,early elementary,male,non-fiction,human,ALSC
"Bark, George",Jules Feiffer,male,1999,4,preschool,male,fiction,non-human,NYPL
Barnum's Bones: How Barnum Brown Discovered the Most Famous Dinosaur in the World,Tracey E. Fern,female,2012,5,preschool,male,non-fiction,human,Goodreads
Batman Science: The Real-World Science Behind Batman's Gear,Tammy Enz and Agnieszka Biskup,female,2014,11,late elementary,male,non-fiction,human,Geek Wrapped
Battle Bunny,Jon Scieszka and Mac Barnett,male,2013,5,preschool,male,fiction,human,ALSC
Battling Boy,Paul Pope,male,2013,10,middle elementary,male,fiction,human,ALSC
Be Prepared,Vera Brosgol,female,2018,11,late elementary,female,non-fiction,human,ALSC
Beanstalk: The Measure of a Giant,Ann McCallum,female,2006,7,early elementary,male,fiction,human,Charlesbridge
Bear Came Along,Richard Morris,male,2019,4,preschool,male,fiction,non-human,ALSC
Bear Can't Sleep,Karma Wilson,female,2018,4,preschool,male,fiction,non-human,Bookvine
Bear Child,Geoff Mead,male,2018,4,preschool,female,fiction,human,CBSD
Bear Has a Story to Tell,Philip Stead,male,2012,2,infant/toddler,male,fiction,non-human,ALSC
Bear Snores On,Karma Wilson,female,2002,2,infant/toddler,male,fiction,non-human,Huffington Post
Bear Wants More,Karma Wilson,female,2003,3,preschool,male,fiction,non-human,WCBC
Bears ,Ruth Krauss,female,2005,4,preschool,male,fiction,human,Naeyc
Beatrice Bunson's Guide to Romeo & Juliet,Paula Marantz Cohen,female,2016,10,middle elementary,female,fiction,human,CBSD
Beautiful Bananas,Elizabeth Laird,female,2004,2,infant/toddler,female,fiction,human,Oxford
Beautiful Moon: A Child's Prayer,Tonya Bolden ,female,2014,5,preschool,male,fiction,human,ALSC
Beautiful Warrior: The Legend of the Nun's Kung Fu,Emily Arnold McCully,female,1998,4,preschool,female,fiction,human,ALSC
"Beauty and the Beak: How Science, Technology, and a 3D-printed Beak Rescued a Bald Eagle",Deborah Lee Rose and Jane Veltkamp,female,2017,5,preschool,female,non-fiction,non-human,Science Magazine
Beavers,Rachel Poliquin,female,2018,8,early elementary,male,fiction,non-human,ALSC
Because of the Rabbit,Cynthia Lord,female,2019,8,early elementary,female,fiction,human,ALSC
Because of Winn-Dixie,Kate DiCamillo,female,2000,9,middle elementary,female,fiction,human,NYPL
Becoming Beatriz,Tami Charles,female,2019,12,late elementary,female,fiction,human,Charlesbridge
Becoming Ben Franklin: How a Candle-Maker's Son Helped Light the Flame of Liberty,Russell Freedman,male,2013,10,middle elementary,male,non-fiction,human,ALSC
Becoming Joe DiMaggio,Maria Testa,female,2002,10,middle elementary,male,fiction,human,ALSC
Becoming Naomi Leon,Pam Mu�oz Ryan,female,2004,9,middle elementary,female,fiction,human,ALSC
